,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
48,12.0,3.9088200952233594,-74.27404621534502,6.277420732560663,2.5611065429215047,13.828427124746192,164.0,199.64583333333334,223.0
49,38.0,6.955796338302048,-36.19206055040323,9.19446198863306,5.38184843360499,23.31370849898476,159.0,201.5,226.0
50,53.0,8.214724333230155,-22.605865690862817,8.989020141052888,7.773878566138094,27.727922061357855,159.0,204.83490566037736,224.0
51,72.75,9.624353322664494,35.57548680428675,15.669318694401666,6.8975721067460105,43.24568901432423,159.0,203.82817869415808,223.0
52,58.5,8.63044108762739,-8.173064253438914,14.240580742518905,6.644192994067802,45.970562748477136,164.0,203.76923076923077,222.0
53,40.75,7.203090409536582,24.070868991938024,10.217404116270318,5.241720192813713,25.435028842544405,162.0,201.83435582822085,224.0
54,332.5,20.575523046193542,-33.853980989685994,22.119422886043505,19.542501477252603,72.81980515339464,158.0,201.07142857142858,218.0
55,58.75,8.6488625410045,49.30287019524228,9.609269348778657,7.945207083650422,28.384776310850235,158.0,205.34893617021277,228.0
56,57.75,8.574939283076915,-8.879844617827688,9.80623308322714,7.797574459280914,29.14213562373095,158.0,203.9004329004329,223.0
57,129.0,12.815923738491737,-18.33122756061332,18.257941544153024,9.261492978996467,50.798989873223334,158.0,201.96511627906978,222.0
58,96.25,11.070199012698888,-0.3594308219510261,15.623690333152348,8.703710471304595,42.14213562373095,159.0,200.72987012987014,220.0
59,6.5,2.876813695875796,81.11813752572462,4.584377401616469,1.8560771269229892,9.414213562373096,169.0,191.84615384615384,223.0
60,61.25,8.83096382707056,-20.973124920170896,10.42346286752005,7.851797913270466,34.26345596729059,159.0,202.6530612244898,228.0
61,441.75,23.71610357724806,59.68640868681903,40.65287032494612,17.070439394517972,167.90306627407986,158.0,203.23033389926428,233.0
62,603.0,27.70854462932514,62.06170821682681,30.792654680816227,28.29285926937163,166.17514421272202,158.0,199.59121061359866,227.0
63,105.75,11.603666741842574,26.855884713768305,13.119827389028128,10.438073317988312,39.8492424049175,159.0,200.73995271867614,220.0
64,4.0,2.256758334191025,0.0,3.1622776601683795,1.5612494995995996,6.414213562373096,174.0,204.75,221.0
65,104.5,11.534883286137944,24.35619480657803,13.290797452588965,10.912614625428134,42.970562748477136,158.0,200.17703349282297,219.0
66,67.5,9.27058084855655,-10.772269241518279,12.721793119618678,7.208479735420727,33.31370849898476,158.0,200.94444444444446,219.0
67,11.0,3.742410318509555,-28.445246659839334,4.121269956803477,3.4977338674650307,11.535533905932738,168.0,202.45454545454547,224.0
68,32.5,6.432750982580687,0.103051368180332,8.817166360710381,4.890765707113434,22.363961030678926,158.0,199.73846153846154,219.0
69,322.75,20.27160731326635,46.006814876769674,26.01856538985586,18.529555471902846,105.97970773009195,158.0,203.32687838884587,225.0
70,8.0,3.1915382432114616,-53.326580825999876,3.5905986127281606,2.871292453282077,9.414213562373096,160.0,197.0625,218.0
71,348.0,21.049640414216977,-5.250528412885085,28.148843724682127,16.127334569151365,84.64823227814082,158.0,204.20402298850576,227.0
72,17.25,4.686510657907603,9.039377771352958,6.081886170438479,4.183507369870038,16.65685424949238,161.0,204.40579710144928,219.0
73,5.5,2.6462837142006137,0.0,3.5161962919661303,2.05703790890632,7.82842712474619,164.0,200.63636363636363,222.0
74,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,179.0,197.5,209.0
75,7.75,3.141274657157109,-73.81072359135058,5.232072993706049,1.9152222012892437,10.82842712474619,161.0,197.0,217.0
76,87.5,10.55502061411188,-11.597441007268388,14.461142012264451,7.827618833277415,37.020815280171306,158.0,203.07142857142858,224.0
77,87.75,10.57008845991889,17.120528309396395,11.106379155041058,10.436454073541853,35.2634559672906,158.0,203.5982905982906,224.0
78,5.0,2.5231325220201604,45.00001609038751,2.8600699292150185,2.23606797749979,7.121320343559642,161.0,191.6,214.0
79,629.75,28.316472296120658,63.03331358210986,44.84539243428125,21.02613177982142,156.98885271170678,158.0,202.8225486304089,222.0
80,73.0,9.640875829802336,73.86826742951008,11.365964191556177,8.444215278883386,36.09188309203678,158.0,198.96917808219177,220.0
81,85.75,10.448937312523231,4.850543511110824,12.108888806905993,9.233635782068273,34.72792206135785,158.0,203.0058309037901,222.0
82,120.75,12.399341717477219,66.81027305934147,13.450578248781204,12.143572813203576,45.8492424049175,161.0,201.1055900621118,220.0
83,92.0,10.823032759612019,-21.710351364415004,11.553648822894681,10.35710852443215,35.60660171779821,161.0,201.29347826086956,224.0
84,24.75,5.613615477764332,-82.63661124801177,6.734875956299041,4.826981046857008,18.36396103067893,158.0,201.96969696969697,224.0
85,38.25,6.978639737521917,-17.67588889003281,7.676640981732564,6.564123941198008,22.77817459305202,161.0,202.7843137254902,224.0
86,131.75,12.951807210534664,-65.94080352287872,15.04297438293665,11.673942151567802,48.67766952966369,158.0,199.81214421252372,222.0
87,7.75,3.141274657157109,50.85323654786534,3.3998674892844876,2.9543361162488897,9.121320343559642,160.0,198.80645161290323,214.0
88,294.75,19.37233480535295,71.53471995660891,25.552007038346776,17.531707894788916,125.25788232314397,158.0,200.23918575063612,221.0
89,83.0,10.280023453913834,61.83726349683183,11.606215719853356,9.64375776451094,39.45279579551077,158.0,200.56927710843374,220.0
90,36.0,6.770275002573076,-6.368782432454135,7.863503953822674,6.115038890305079,22.65685424949238,169.0,202.25,216.0
91,163.25,14.417224270920368,-6.00012446992717,16.72215427993845,13.58876248216147,56.62741699796952,158.0,202.96630934150076,222.0
92,60.75,8.79484521425256,-4.743969508425175,10.247948207564825,7.6116691804124414,29.020815280171306,160.0,200.36625514403292,219.0
93,130.5,12.890219570974683,5.336554368826252,16.2405669195213,10.605041174061533,45.38477631085023,160.0,204.33908045977012,221.0
94,13.5,4.145929793656026,25.322191794360528,5.567945831451689,3.3109385260217685,13.65685424949238,159.0,196.59259259259258,217.0
95,37.0,6.863662517577698,-0.2294728119449838,9.966585227012121,5.00103115236433,24.77817459305202,159.0,200.8581081081081,221.0
96,175.25,14.93771167933152,-9.49965714461533,18.758452918683474,12.69006460772105,64.16295090390226,158.0,200.13409415121257,223.0
97,63.75,9.009385160867895,-68.30834663341412,12.55847443340907,6.589229513975101,31.31370849898476,162.0,199.98039215686273,219.0
98,54.75,8.349243383340204,-76.88606415547217,9.518793699996195,7.553059232861738,27.77817459305202,158.0,200.00913242009133,217.0
99,166.5,14.560026929865362,1.5500745126494024,17.681793315380403,13.349318204492798,60.87005768508881,158.0,199.7867867867868,217.0
100,45.0,7.569397566060481,-5.516092752354421,8.569247607246206,6.74073450141338,23.899494936611667,159.0,200.82777777777778,220.0
101,207.0,16.23454913941803,-34.14299295004747,18.031460443259675,15.014595218004741,62.4558441227157,158.0,202.32850241545893,221.0
102,241.25,17.52623862006215,82.62465826668884,34.5347211623545,12.200603821651798,104.34062043356595,158.0,199.2860103626943,218.0
103,29.5,6.128667601500942,-51.44342944765388,6.993018350310703,5.43589932282414,19.65685424949238,158.0,195.3135593220339,215.0
104,26.5,5.808687281605183,80.44002196160979,6.331521531351913,5.417964685008772,18.535533905932738,160.0,199.95283018867926,214.0
105,20.75,5.140011726956917,78.77080697743465,6.1613569026480075,4.344531958255985,16.121320343559642,160.0,199.4578313253012,212.0
106,66.0,9.166995688475081,-22.404373615932418,11.005539809743205,7.924263793778212,31.31370849898476,158.0,202.11742424242425,223.0
107,102.75,11.437891554894984,-78.9132564640662,13.917470565249268,9.645174012368999,41.384776310850235,158.0,200.12895377128953,223.0
108,35.25,6.699380116989518,-54.550279209469174,7.844799060701631,5.962046171828826,22.31370849898476,163.0,200.41843971631207,223.0
109,55.0,8.368283871884005,9.854173850568014,12.416387054927297,5.790747273870371,30.899494936611664,160.0,198.50454545454545,219.0
110,127.75,12.753679933255228,52.12595890471101,19.46289486863347,9.181529041261188,54.04163056034261,159.0,202.17221135029354,224.0
111,53.25,8.234075889688375,-53.617759040939475,10.602884752880735,7.0229534612701165,29.849242404917497,158.0,201.5399061032864,219.0
112,149.0,13.773623058786647,-60.67067152925681,14.642390600455201,13.319101261040812,53.62741699796952,158.0,200.05369127516778,218.0
